item,itemLabel,enLabel,pubYear,imdbID,tmdbID,type,genres,cast,directors,screenwriters,runtimes
http://www.wikidata.org/entity/Q110628573,소설가의 영화,The Novelist's Film,2023,tt17146978,928713,movie,"드라마 영화, 코미디 드라마","김시하, 서영화, 박미소, 기주봉, 이혜영, 권해효, 김민희, 조윤희",홍상수,홍상수,93
http://www.wikidata.org/entity/Q110629546,정이,JUNG_E,2023,tt22352848,843794,movie,"액션 영화, SF 영화","한우열, 이동희, 박소이, 류경수, 엄지원, 김현주, 강수연",연상호,연상호,98
http://www.wikidata.org/entity/Q110761576,비밀의 언덕,The Hill of Secrets,2023,tt17080040,927035,movie,어린이 영화,"임선우, 장선, 문승아, 강길우",이지은,이지은,122
http://www.wikidata.org/entity/Q111364645,마녀 Part2. The Other One,The Witch: Part 2. The Other One,2023,tt13721828,615173,movie,"액션 영화, 공포 영화, 미스터리 영화","서이라, 신시아, 채원빈, 변서윤, 서은수, 김다미, 차순배, 성유빈, 엄태구, 진구, 조민수, 박은빈, 이종석",박훈정,박훈정,"137, 138"
http://www.wikidata.org/entity/Q111937655,더 킬러: 죽어도 되는 아이,The Killer: A Girl Who Deserves to Die,2023,tt19713090,938008,movie,"액션 영화, 문학 작품을 원작으로 하는 영화","이서영, 방은정, 이승준, 브루스 칸, 장혁",최재훈,,95
http://www.wikidata.org/entity/Q111940050,귀공자,The Childe,2023,tt27534328,1057001,movie,"필름 누아르, 액션 영화, 스릴러 영화, 액션 스릴러","강태주, 김선호, 김강우, 고아라",박훈정,박훈정,118
http://www.wikidata.org/entity/Q111943486,보스턴 1947,Road to Boston,2023,tt11692284,581394,movie,"전기 영화, 스포츠 영화","배성우, 김상호, 박은빈, 하정우, 임시완",강제규,강제규,"108, 113"
http://www.wikidata.org/entity/Q111934326,소울메이트,Soulmate,2023,tt13086130,617882,movie,"드라마 영화, 로맨스 영화","전소니, 김다미, 변우석",민용근,,124
http://www.wikidata.org/entity/Q112892327,거미집,Cobweb,2023,tt21254598,901121,movie,"드라마 영화, 코미디 영화, 역사 영화","오정세, 정경호, 박정수, 장영남, 임수정, 송강호, 정수정, 전여빈",김지운,"김지운, 신연식",133
http://www.wikidata.org/entity/Q112078141,동감,Ditto,2023,tt22872370,962489,movie,로맨스 영화,"배인혁, 조이현, 김혜윤, 나인우, 여진구",서은영,,114
http://www.wikidata.org/entity/Q112117180,유령,Phantom,2023,tt25503544,715253,movie,"액션 영화, 역사 영화","김동희, 박해수, 박소담, 서현우, 설경구, 이하늬",이해영,,133
http://www.wikidata.org/entity/Q112133963,다음 소희,Next Sohee,2023,tt19820538,923344,movie,드라마 영화,"김시은, 김우겸, 정회린, 박우영, 심희섭, 배두나",정주리,정주리,"137, 138"
http://www.wikidata.org/entity/Q113317051,범죄도시3,The Roundup: No Way Out,2023,tt21364552,955555,movie,"액션 영화, 범죄 영화","최우준, 한규원, 안세호, 김도건, 최동구, 최광제, 김민재, 이혜지, 아오키 무네타카, 전석호, 고규필, 이지훈, 배누리, 마동석, 이범수, 이준혁",이상용,,105
http://www.wikidata.org/entity/Q113407742,늑대사냥,Project Wolf Hunting,2023,tt15575470,799379,movie,"범죄 영화, 액션 영화, 공포 영화, SF 영화","성동일, 장영남, 임주환, 김강훈, 장동윤, 이성욱, 손종학, 정소민, 홍지윤, 고창석, 최귀화, 정문성, 박호산, 서인국",김홍선,김홍선,"121, 122"
http://www.wikidata.org/entity/Q114363980,천박사와 사라진 설경,Dr. Cheon and Lost Talisman,2023,tt29005755,950253,movie,"판타지 영화, 공포 영화","박소이, 김종수, 이동휘, 이솜, 허준호, 강동원",김성식,,98
http://www.wikidata.org/entity/Q114414622,길복순,Kill Boksoon,2023,tt16900880,849869,movie,"액션 영화, 범죄 영화, 스릴러 영화, 성 소수자 연관 장르","이연, 김시아, 구교환, 이솜, 황정민, 설경구, 전도연",변성현,변성현,137
http://www.wikidata.org/entity/Q115136778,강남좀비,Gangnam Zombie,2023,tt21109552,996525,movie,"액션 영화, 공포 영화, 좀비 영화","지일주, 지연",,,81
http://www.wikidata.org/entity/Q115629929,젠틀맨,Gentleman,2023,tt24670346,848198,movie,"액션 영화, 범죄 영화","권한솔, 최성은, 박혜은, 강홍석, 이달, 박성웅, 주지훈",김경원,,123
http://www.wikidata.org/entity/Q115904584,살수,The Assassin,2023,tt21109580,890154,movie,"액션 영화, 역사 영화","홍은기, 최성원, 김민경, 이문식, 신현준",곽정덕,,101
http://www.wikidata.org/entity/Q115941173,조선변호사,Joseon Lawyer,2023,tt26599669,206715,tv,"법률 드라마, 대한민국의 사극, 복수 드라마","우도환, 엔, 보나",,,70
http://www.wikidata.org/entity/Q116178439,스마트폰을 떨어뜨렸을 뿐인데,Unlocked,2023,tt26160190,740441,movie,"범죄 영화, 스릴러 영화","김예원, 전병욱, 박호산, 김희원, 임시완, 천우희",김태준,김태준,117
http://www.wikidata.org/entity/Q116232642,발레리나,Ballerina,2023,tt26350277,961268,movie,"액션 영화, 스릴러 영화","박유림, 박형수, 김영옥 (1937년), 전종서, 신세휘, 장윤주, 주현, 김지훈, 김무열",이충현,이충현,93
http://www.wikidata.org/entity/Q116372916,물안에서,In Water,2023,tt26448971,1077647,movie,드라마 영화,신석호,홍상수,홍상수,61
http://www.wikidata.org/entity/Q116442876,밀수,Smugglers,2023,tt28106766,783110,movie,"범죄 영화, 액션 영화","김종수, 박정민, 조인성, 김혜수, 염정아, 고민시",류승완,류승완,129
http://www.wikidata.org/entity/Q116786097,카운트 (2023년 영화),Count,2023,tt26351494,644893,movie,,진선규,,,109
http://www.wikidata.org/entity/Q116795756,30일,Love Reset,2023,tt29031019,1052433,movie,로맨틱 코미디,"김선영, 강하늘, 조민수, 정소민",남대중,,119
http://www.wikidata.org/entity/Q116882535,리바운드,Rebound,2023,tt27002199,936243,movie,스포츠 영화,"이신영, 안지호, 안재홍, 정건주, 정진운",장항준,김은희,122
http://www.wikidata.org/entity/Q117318724,킬링 로맨스,Killing Romance,2023,tt27304839,746349,movie,"코미디 영화, 뮤지컬 영화, 스릴러 영화","배유람, 심달기, 공명, 이선균, 이하늬",이원석,,106
http://www.wikidata.org/entity/Q117666718,화란,Hopeless,2023,tt27502351,1028684,movie,드라마 영화,"홍사빈, 비비, 송중기",김창훈,,123
http://www.wikidata.org/entity/Q117793835,잠,Sleep,2023,tt8209702,964592,movie,"공포 영화, 미스터리 영화","이선균, 정유미",유재선,유재선,94
http://www.wikidata.org/entity/Q117827042,우리의 하루,In Our Day,2023,tt27541074,1114775,movie,"드라마 영화, 코미디 영화, 코미디 드라마",,홍상수,홍상수,84
http://www.wikidata.org/entity/Q118286995,더 문,The Moon,2023,tt27688034,753091,movie,SF 영화,"최병모, 박병은, 홍승희, 조한철, 디오 (1993년), 설경구, 김희애",김용화,김용화,129
http://www.wikidata.org/entity/Q118970581,빈틈 없는 사이,My Worst Neighbor,2023,tt26736481,1005533,movie,로맨틱 코미디,"이지훈, 한승연",,,112
http://www.wikidata.org/entity/Q120922062,보통의 가족,A Normal Family,2023,tt28488187,973628,movie,"드라마 영화, 스릴러 영화",,허진호,,109
http://www.wikidata.org/entity/Q122226580,한국이 싫어서,Because I Hate Korea,2023,tt29578765,1007481,movie,"드라마 영화, 로맨스 영화, 가족 영화","김우겸, 주종혁, 고아성",장건재,,106
http://www.wikidata.org/entity/Q124309693,괜찮아 괜찮아 괜찮아!,It’s Okay!,2023,tt29579010,1174188,movie,"드라마 영화, 코미디 영화, 가족 영화","정수빈, 이정하, 손석구, 이레, 진서연",김혜영,,102
http://www.wikidata.org/entity/Q124364991,미망,Mimang,2023,tt28670618,1160039,movie,"드라마 영화, 로맨스 영화",,,,82
http://www.wikidata.org/entity/Q128867594,치악산 (영화),Mount Chiak,2023,tt29031126,987540,movie,,,,,85
http://www.wikidata.org/entity/Q131456774,손,The Hard,2023,tt27830625,717712,movie,"코미디 영화, 스릴러 영화","정다솔, 이재원, 박상욱",,,58
http://www.wikidata.org/entity/Q17899269,맨홀 (영화),Manhole,2023,tt4034380,273645,movie,스릴러 영화,"정경호, 김새론, 정유미",,,
http://www.wikidata.org/entity/Q18815452,두 개의 달,The Sleepless,2023,tt3037322,133989,movie,미스터리 영화,,,,
http://www.wikidata.org/entity/Q111304992,1승,One Win,2023,tt14895212,714650,movie,스포츠 영화,"박명훈, 이민지, 박정민, 장윤주, 송강호",신연식,신연식,
http://www.wikidata.org/entity/Q111817993,멍뭉이,My Heart Puppy,2023,tt24218390,610249,movie,,"태원석, 우도환, 정인선, 박진주, 강신일, 차태현, 유연석",김주환,,
http://www.wikidata.org/entity/Q112591987,노량: 죽음의 바다,Noryang,2023,tt22813112,660360,movie,"역사 영화, 드라마 영화, 액션 영화, 전쟁 영화",,김한민,,
http://www.wikidata.org/entity/Q114878691,이두나!,Doona!,2023,tt24245988,194797,tv,"한국 드라마, 로맨틱 코미디, 로맨스 영화","하영, 김도완 (배우), 박세완, 양세종, 김민호, 이유비, 고아성, 이진욱, 수지",,,
http://www.wikidata.org/entity/Q115408546,스위치 (2023년 영화),Switch,2023,tt24076346,773910,movie,코미디 드라마,"박소이, 오정세, 이민정, 권상우",마대윤,,
http://www.wikidata.org/entity/Q115531995,소용없어 거짓말,My Lovely Liar,2023,tt27203727,210781,tv,,"민현, 서지훈, 김소현",,,
http://www.wikidata.org/entity/Q116232217,독전 2,Believer 2,2023,tt26258204,958263,movie,범죄 영화,"오승훈, 이주영, 한효주, 김동영, 차승원, 조진웅",백종열,,
http://www.wikidata.org/entity/Q116311978,우리 사랑이 향기로 남을 때,Love My Scent,2023,tt26456629,1073274,movie,로맨틱 코미디,"노상현, 설인아, 윤시윤",,,
http://www.wikidata.org/entity/Q123021582,용감한 시민,Brave Citizen,2023,tt22505214,897160,movie,,"이준영, 신혜선",박진표,,
http://www.wikidata.org/entity/Q130598169,너와 나,The Dream Songs,2023,tt26757183,972435,movie,,,,,
http://www.wikidata.org/entity/Q7721618,고양이: 죽음을 보는 두 개의 눈,The Cat,2022,tt1935094,75931,movie,공포 영화,"김동욱, 박민영",변승욱,,106
http://www.wikidata.org/entity/Q20445337,널 기다리며,Missing You,2022,tt5545862,390433,movie,스릴러 영화,"윤제문, 김성오, 심은경(Shim Eun Kyung)",모홍진,,108
http://www.wikidata.org/entity/Q20945501,더 폰,The Phone,2022,tt5034276,367882,movie,"드라마 영화, 액션 영화, 스릴러 영화","배성우, 장인섭, 노정의, 조달환, 손현주, 엄지원",,,114
